District,Soil_Type,Previous_Crop,Current_Crop,Stage,N,P,K,pH,Moisture,Target_Action,Situation
Umerkot,Light Sandy,Bajra,None,Empty Field,88.6,58.8,146.2,6.64,57.9,Onion,Pre-Sowing
Mirpur Khas,Alluvial,None,Mango,Maturity,116.3,58.1,184.5,6.69,40.8,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,None,Onion,Vegetative,115.6,56.1,194.7,6.65,56.6,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,Mango,None,Empty Field,73.5,46.6,125.2,6.89,37.3,Wheat,Pre-Sowing
Mirpur Khas,Alluvial,Cotton,None,Empty Field,105.1,53.3,159.0,5.54,54.9,Guava,Pre-Sowing
Tharparkar,Desert Sand,None,Guar,Flowering,5.0,9.2,21.0,9.47,6.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,None,Moth bean,Flowering,26.9,47.1,41.0,7.91,30.3,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,Rice,None,Empty Field,75.9,33.3,135.0,7.24,26.2,Wheat,Pre-Sowing
Tharparkar,Desert Sand,None,Bajra,Flowering,49.0,16.0,41.5,8.03,7.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,None,Chilli,Flowering,74.1,43.0,99.2,6.55,44.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,Desert grasses,None,Empty Field,36.5,23.5,68.6,8.71,4.2,Desert grasses,Pre-Sowing
Tharparkar,Desert Sand,None,Wheat,Seedling,32.8,9.5,35.7,8.22,11.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,None,Guar,Vegetative,16.9,35.7,48.5,7.64,20.8,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,None,Rice,Maturity,143.2,52.9,131.6,6.11,87.6,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,Dates,None,Empty Field,10.1,19.5,30.4,9.1,8.4,Desert grasses,Pre-Sowing
Tharparkar,Desert Sand,Dates,None,Empty Field,71.0,20.0,58.9,8.05,10.9,Bajra,Pre-Sowing
Tharparkar,Desert Sand,Bajra,None,Empty Field,102.4,52.1,99.6,8.22,9.5,Dates,Pre-Sowing
Umerkot,Sandy Loam,None,Cotton,Flowering,75.1,32.0,108.8,7.36,31.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy,Wheat,None,Empty Field,8.9,24.6,24.2,7.93,9.8,Moth bean,Pre-Sowing
Umerkot,Loamy,Cotton,None,Empty Field,26.0,11.2,41.7,8.06,11.0,Moth bean,Pre-Sowing
Mirpur Khas,Clay Loam,Guava,None,Empty Field,117.4,59.6,202.0,6.45,46.2,Mango,Pre-Sowing
Mirpur Khas,Loamy,None,Tomato,Vegetative,130.2,66.7,191.0,6.46,60.8,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Jowar,Flowering,42.1,15.7,33.4,7.93,8.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,None,Jowar,Seedling,43.5,11.3,40.6,8.6,12.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Mirpur Khas,Loamy,None,Chilli,Flowering,110.5,52.0,163.5,6.37,51.6,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,Moth bean,None,Empty Field,34.9,37.9,39.1,7.85,18.1,Moth bean,Pre-Sowing
Mirpur Khas,Alluvial,Guava,None,Empty Field,115.1,61.5,184.9,6.27,58.3,Tomato,Pre-Sowing
Mirpur Khas,Silt Loam,Rice,None,Empty Field,209.3,75.5,219.7,7.03,76.6,Sugarcane,Pre-Sowing
Mirpur Khas,Clay Loam,None,Sugarcane,Flowering,147.1,53.5,185.0,7.09,58.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Clay Loam,Banana,None,Empty Field,71.5,36.3,121.6,6.96,47.4,Wheat,Pre-Sowing
Mirpur Khas,Clay Loam,Chilli,None,Empty Field,102.6,38.4,147.4,7.37,45.1,Wheat,Pre-Sowing
Umerkot,Loamy,Onion,None,Empty Field,72.3,29.8,116.5,7.36,37.1,Bajra,Pre-Sowing
Tharparkar,Sandy Loam,Guar,None,Empty Field,59.7,18.3,65.2,8.16,22.8,Bajra,Pre-Sowing
Umerkot,Light Sandy,None,Bajra,Maturity,57.0,19.2,64.3,7.52,17.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Clay Loam,None,Mango,Maturity,88.3,41.4,136.9,5.94,33.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Wheat,None,Empty Field,5.0,3.3,15.0,9.5,2.5,Desert grasses,Pre-Sowing
Umerkot,Loamy,None,Wheat,Seedling,57.7,27.2,83.1,7.07,26.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,Mango,None,Empty Field,51.2,18.0,101.3,7.45,20.7,Wheat,Pre-Sowing
Tharparkar,Sandy Loam,Guar,None,Empty Field,6.2,5.5,16.6,9.15,3.5,Desert grasses,Pre-Sowing
Umerkot,Clay,Jowar,None,Empty Field,29.5,8.5,52.1,8.48,9.9,Moth bean,Pre-Sowing
Umerkot,Loamy,Chilli,None,Empty Field,53.4,9.7,65.8,8.26,16.6,Guar,Pre-Sowing
Umerkot,Sandy Loam,None,Wheat,Flowering,109.1,43.2,131.7,7.08,39.5,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,Onion,None,Empty Field,139.3,47.6,178.8,7.21,54.8,Cotton,Pre-Sowing
Tharparkar,Desert Sand,None,Wheat,Flowering,84.0,37.9,107.5,7.42,44.0,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Dates,None,Empty Field,88.9,25.6,97.2,7.23,43.5,Wheat,Pre-Sowing
Tharparkar,Sandy,None,Bajra,Seedling,74.8,31.1,59.1,7.86,13.2,Nutrients Optimal - No Action Needed,Growth
Umerkot,Clay,Bajra,None,Empty Field,30.8,54.5,63.1,8.47,20.7,Guar,Pre-Sowing
Umerkot,Loamy,Moth bean,None,Empty Field,26.5,14.5,68.1,7.81,17.1,Guar,Pre-Sowing
Mirpur Khas,Alluvial,Tomato,None,Empty Field,108.4,66.2,171.6,6.3,63.2,Tomato,Pre-Sowing
Umerkot,Light Sandy,None,Bajra,Flowering,86.5,29.5,99.9,7.81,24.0,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,Tomato,None,Empty Field,93.7,49.9,152.0,6.44,51.6,Chilli,Pre-Sowing
Mirpur Khas,Alluvial,Rice,None,Empty Field,57.5,27.5,35.1,6.51,33.6,Guava,Pre-Sowing
Tharparkar,Sandy,None,Jowar,Flowering,47.2,17.0,34.9,7.3,8.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,None,Sunflower,Vegetative,39.9,17.5,38.2,8.19,14.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Mirpur Khas,Alluvial,None,Chilli,Maturity,65.1,41.9,100.3,6.22,47.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,Chilli,None,Empty Field,93.6,40.1,136.1,7.55,33.3,Wheat,Pre-Sowing
Mirpur Khas,Loamy,Rice,None,Empty Field,108.5,43.1,132.8,6.97,50.7,Wheat,Pre-Sowing
Tharparkar,Desert Sand,Moth bean,None,Empty Field,47.3,15.7,63.3,8.46,21.7,Desert grasses,Pre-Sowing
Umerkot,Clay,None,Jowar,Maturity,30.3,14.8,23.9,8.11,11.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,None,Moth bean,Vegetative,8.5,19.5,23.7,8.25,6.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Dates,None,Empty Field,26.1,5.8,16.9,8.88,6.0,Desert grasses,Pre-Sowing
Umerkot,Sandy Loam,Onion,None,Empty Field,105.1,54.2,135.2,7.17,54.6,Chilli,Pre-Sowing
Tharparkar,Sandy Loam,Guar,None,Empty Field,29.5,7.6,16.2,9.04,6.2,Desert grasses,Pre-Sowing
Mirpur Khas,Loamy,Banana,None,Empty Field,52.2,15.4,79.3,7.66,14.9,Wheat,Pre-Sowing
Mirpur Khas,Silt Loam,Chilli,None,Empty Field,111.7,40.8,118.6,5.95,43.0,Guava,Pre-Sowing
Umerkot,Clay,Guar,None,Empty Field,110.8,51.4,174.2,7.15,49.0,Cotton,Pre-Sowing
Tharparkar,Sandy,None,Moth bean,Maturity,10.2,19.6,24.1,7.9,7.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,None,Bajra,Maturity,93.3,40.3,106.1,6.62,27.2,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,None,Jowar,Vegetative,93.0,28.1,91.2,6.66,44.5,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,Cotton,None,Empty Field,123.6,47.1,118.4,6.9,53.4,Wheat,Pre-Sowing
Mirpur Khas,Clay Loam,Tomato,None,Empty Field,57.8,17.2,57.6,7.98,20.4,Wheat,Pre-Sowing
Umerkot,Clay,None,Onion,Maturity,69.6,39.9,131.5,7.59,34.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,Desert grasses,None,Empty Field,25.2,8.2,28.7,8.93,6.2,Desert grasses,Pre-Sowing
Mirpur Khas,Clay Loam,None,Guava,Vegetative,59.5,34.9,91.3,6.6,36.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Dates,None,Empty Field,7.2,6.5,15.0,8.7,3.3,Desert grasses,Pre-Sowing
Mirpur Khas,Silt Loam,Chilli,None,Empty Field,127.5,57.7,163.1,6.82,62.4,Onion,Pre-Sowing
Mirpur Khas,Alluvial,Rice,None,Empty Field,146.3,60.6,161.8,7.08,51.2,Cotton,Pre-Sowing
Tharparkar,Sandy Loam,None,Jowar,Flowering,41.8,11.9,29.2,8.17,7.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,None,Wheat,Maturity,71.5,29.6,79.5,7.52,30.5,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,None,Bajra,Flowering,92.6,30.1,86.1,7.24,35.9,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,None,Dates,Maturity,68.6,47.9,68.8,7.65,6.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,None,Jowar,Seedling,51.8,24.9,43.4,6.66,16.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Loamy,None,Moth bean,Vegetative,34.1,33.8,49.1,7.54,25.3,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,Onion,None,Empty Field,70.7,21.4,78.9,7.13,33.2,Jowar,Pre-Sowing
Mirpur Khas,Clay Loam,None,Sugarcane,Seedling,182.0,75.1,273.8,7.26,69.9,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,None,Cotton,Maturity,65.2,18.1,79.6,8.3,17.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,None,Sugarcane,Flowering,131.7,46.5,146.3,7.81,57.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Clay Loam,None,Guava,Maturity,67.8,34.6,85.4,7.02,36.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,None,Wheat,Flowering,55.5,23.0,51.2,7.87,24.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Sandy Loam,Sunflower,None,Empty Field,70.9,34.6,117.7,7.19,43.3,Wheat,Pre-Sowing
Umerkot,Light Sandy,Guar,None,Empty Field,99.4,31.7,76.3,6.95,34.1,Jowar,Pre-Sowing
Umerkot,Clay,None,Cotton,Vegetative,121.5,48.6,173.6,7.58,51.1,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,None,Desert grasses,Seedling,5.0,4.1,15.0,9.5,2.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,None,Chilli,Vegetative,77.9,40.7,96.2,7.19,35.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,Bajra,None,Empty Field,40.9,10.6,34.7,8.14,12.8,Moth bean,Pre-Sowing
Tharparkar,Sandy Loam,None,Jowar,Seedling,29.8,6.1,16.3,8.56,6.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,Guar,None,Empty Field,5.0,5.0,15.0,9.5,2.6,Desert grasses,Pre-Sowing
Umerkot,Loamy,Moth bean,None,Empty Field,98.3,49.1,112.3,6.96,49.0,Sunflower,Pre-Sowing
Umerkot,Clay,None,Bajra,Flowering,69.0,21.5,57.1,8.26,17.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,Bajra,None,Empty Field,21.0,40.1,53.3,8.22,16.6,Guar,Pre-Sowing
Tharparkar,Sandy Loam,None,Wheat,Flowering,44.4,19.8,74.1,7.85,26.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,None,Bajra,Maturity,39.0,13.9,35.0,7.53,7.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,Onion,None,Empty Field,110.1,44.3,150.7,7.08,49.8,Chilli,Pre-Sowing
Umerkot,Clay,Guar,None,Empty Field,88.5,57.0,138.1,6.78,50.0,Chilli,Pre-Sowing
Mirpur Khas,Alluvial,Sugarcane,None,Empty Field,75.6,23.0,54.3,6.52,34.1,Guava,Pre-Sowing
Umerkot,Sandy Loam,Cotton,None,Empty Field,40.2,14.1,35.2,8.36,11.9,Moth bean,Pre-Sowing
Umerkot,Sandy Loam,Onion,None,Empty Field,89.0,53.0,139.2,6.69,52.2,Chilli,Pre-Sowing
Mirpur Khas,Loamy,None,Sugarcane,Flowering,133.4,54.9,156.0,7.88,55.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Clay Loam,Banana,None,Empty Field,90.1,30.0,118.0,7.68,40.6,Wheat,Pre-Sowing
Umerkot,Clay,Wheat,None,Empty Field,65.4,41.5,110.0,6.78,43.3,Sunflower,Pre-Sowing
Umerkot,Sandy Loam,None,Moth bean,Flowering,17.0,24.9,26.9,7.31,12.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Silt Loam,Cotton,None,Empty Field,185.8,66.0,279.8,6.74,74.4,Banana,Pre-Sowing
Umerkot,Light Sandy,Sunflower,None,Empty Field,68.3,35.2,93.9,7.66,35.2,Bajra,Pre-Sowing
Mirpur Khas,Silt Loam,Banana,None,Empty Field,90.4,45.4,130.0,6.51,54.3,Chilli,Pre-Sowing
Umerkot,Sandy Loam,Chilli,None,Empty Field,19.1,34.3,48.1,7.29,17.8,Moth bean,Pre-Sowing
Umerkot,Clay,None,Chilli,Flowering,54.9,16.9,76.5,7.72,19.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,None,Guar,Seedling,15.3,31.1,44.6,7.78,16.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Loamy,None,Cotton,Flowering,130.2,55.0,213.3,7.48,56.0,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,Guar,None,Empty Field,9.3,19.8,23.4,8.47,6.3,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,None,Sugarcane,Seedling,176.5,75.6,199.3,7.11,81.2,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,Chilli,None,Empty Field,134.7,48.9,141.8,6.49,94.2,Chilli,Pre-Sowing
Tharparkar,Sandy,Dates,None,Empty Field,9.2,12.2,26.3,7.52,7.3,Desert grasses,Pre-Sowing
Umerkot,Sandy Loam,None,Jowar,Maturity,84.3,29.1,60.6,7.32,42.8,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,None,Tomato,Flowering,129.0,55.6,165.6,6.59,66.8,Nutrients Optimal - No Action Needed,Growth
Umerkot,Clay,None,Moth bean,Maturity,15.4,26.4,35.0,8.51,11.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Clay,Guar,None,Empty Field,119.2,41.5,194.5,7.68,48.3,Cotton,Pre-Sowing
Mirpur Khas,Clay Loam,None,Chilli,Seedling,104.1,50.7,130.3,6.92,62.8,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,Cotton,None,Empty Field,46.6,15.5,84.2,7.69,20.4,Wheat,Pre-Sowing
Mirpur Khas,Clay Loam,None,Cotton,Maturity,112.1,30.8,136.4,7.77,41.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,None,Guar,Maturity,22.1,28.1,39.5,8.04,11.8,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Guar,Maturity,9.6,19.5,26.7,9.16,8.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,None,Wheat,Vegetative,22.3,7.3,38.6,8.27,11.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,None,Tomato,Seedling,128.1,64.0,190.9,6.8,67.1,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Bajra,Vegetative,57.5,23.7,57.0,8.24,19.2,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,Sugarcane,None,Empty Field,178.0,90.3,242.0,6.15,77.0,Banana,Pre-Sowing
Umerkot,Loamy,Bajra,None,Empty Field,55.4,35.6,77.3,7.34,37.6,Jowar,Pre-Sowing
Umerkot,Loamy,Wheat,None,Empty Field,22.5,42.5,54.2,7.81,17.7,Moth bean,Pre-Sowing
Umerkot,Light Sandy,None,Wheat,Vegetative,50.5,13.9,31.3,7.9,15.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,None,Cotton,Flowering,42.0,27.6,70.6,7.79,16.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,Sugarcane,None,Empty Field,176.1,74.8,230.8,7.13,70.4,Sugarcane,Pre-Sowing
Tharparkar,Desert Sand,Desert grasses,None,Empty Field,48.6,14.2,26.8,8.66,8.0,Desert grasses,Pre-Sowing
Mirpur Khas,Clay Loam,Rice,None,Empty Field,129.7,46.1,220.1,7.43,61.6,Cotton,Pre-Sowing
Umerkot,Clay,None,Onion,Seedling,105.3,49.7,178.8,7.04,56.8,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,None,Guava,Maturity,105.5,44.6,145.2,6.69,49.0,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,None,Onion,Vegetative,98.1,54.2,181.9,7.02,50.3,Nutrients Optimal - No Action Needed,Growth
Umerkot,Clay,Cotton,None,Empty Field,65.1,26.4,84.3,7.55,26.4,Moth bean,Pre-Sowing
Mirpur Khas,Silt Loam,None,Guava,Vegetative,60.0,35.8,102.0,6.87,34.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,Dates,None,Empty Field,46.7,16.3,59.8,7.34,25.5,Jowar,Pre-Sowing
Tharparkar,Sandy,Bajra,None,Empty Field,96.6,67.2,125.6,7.72,20.9,Dates,Pre-Sowing
Mirpur Khas,Loamy,Sugarcane,None,Empty Field,69.9,43.4,105.3,7.09,35.5,Wheat,Pre-Sowing
Tharparkar,Desert Sand,None,Dates,Seedling,94.8,58.0,119.8,8.38,21.1,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,None,Sugarcane,Vegetative,137.0,46.3,146.5,7.67,60.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,None,Moth bean,Seedling,12.1,23.8,26.7,8.15,14.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Silt Loam,Banana,None,Empty Field,55.4,19.2,73.9,7.94,16.3,Wheat,Pre-Sowing
Umerkot,Clay,None,Cotton,Vegetative,94.4,30.4,135.6,7.98,32.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,Rice,None,Empty Field,208.0,69.0,222.9,7.25,69.2,Sugarcane,Pre-Sowing
Mirpur Khas,Loamy,None,Sugarcane,Vegetative,193.3,80.9,250.8,6.57,80.3,Nutrients Optimal - No Action Needed,Growth
